Row,Model,GLbins,Wavelength,Residual
original_firstorder_10Percentile,0.975400000223856,7.51497249986156e-33,0.0210649672413187,0.00353503253482557
original_firstorder_90Percentile,0.934193943495284,1.53951942800601e-30,0.0423755560502033,0.0234305004545132
original_firstorder_Energy,0.892173450870757,0,0.0571019547093801,0.0507245944198631
original_firstorder_Entropy,0.0076140911062331,0.990064001410187,0.000157199982471375,0.00216470750110809
original_firstorder_InterquartileRange,0.824508809418164,0,0.138095412334177,0.0373957782476582
original_firstorder_Kurtosis,0.882745066781768,1.46948961812074e-30,0.00784285875657622,0.109412074461656
original_firstorder_Maximum,0.859914873859191,0,0.063950362738015,0.0761347634027936
original_firstorder_Mean,0.960487101513719,1.3202528382849e-31,0.0228927289992294,0.0166201694870514
original_firstorder_MeanAbsoluteDeviation,0.874106021697313,1.47382370516992e-31,0.0869181899976346,0.0389757883050521
original_firstorder_Median,0.963149654294121,0,0.0242404910624167,0.0126098546434626
original_firstorder_Minimum,0.710679520510369,0,0.163675205004382,0.125645274485249
original_firstorder_Range,0.836193255793986,0,0.0786883626251704,0.0851183815808432
original_firstorder_RobustMeanAbsoluteDeviation,0.838193835615911,6.05189047684542e-31,0.124934243300332,0.0368719210837576
original_firstorder_RootMeanSquared,0.935177126755551,0,0.0389701192428871,0.0258527540015615
original_firstorder_Skewness,0.926194918931025,1.55389686486802e-31,0.0224304281001579,0.051374652968817
original_firstorder_TotalEnergy,0.892173450870755,4.24419947737314e-31,0.05710195470938,0.0507245944198648
original_firstorder_Uniformity,0.0109924754469351,0.973133149832827,0.000261732857153688,0.0156126418630838
original_firstorder_Variance,0.821147331395826,7.4223557919905e-32,0.0976827395849889,0.0811699290191854
original_glcm_Autocorrelation,0.0032880674359425,0.979380160660429,0.0018161223362739,0.0155156495673542
original_glcm_ClusterProminence,0.0141180566469007,0.915555776584934,0.000196839643489222,0.0701293271246757
original_glcm_ClusterShade,0.0490310219207464,0.764348351019228,0.00107228531652363,0.185548341743502
original_glcm_ClusterTendency,0.00151996029404365,0.982865154432982,0.000740623869952507,0.0148742614030218
original_glcm_Contrast,0.000210406632166085,0.995621668288195,0.000273126840533592,0.00389479823910543
original_glcm_Correlation,0.0154096929059151,0.955028745784391,0.0108314200401709,0.0187301412695229
original_glcm_DifferenceAverage,0.000500475476442002,0.996674584341749,0.000185884086868735,0.00263905609494042
original_glcm_DifferenceEntropy,0.000167287404200097,0.998816793690742,0.000131229747416634,0.000884689157640839
original_glcm_DifferenceVariance,0.00177978691938695,0.991749562327744,0.000259501198005132,0.00621114955486346
original_glcm_Id,0.00249357511661319,0.995294865897457,0.000191673977630248,0.00201988500829919
original_glcm_Idm,0.00250284485442925,0.995161762810265,0.00018344053993942,0.00215195179536676
original_glcm_Idmn,0.00122519375320962,0.976868896253241,0.00255058433989709,0.0193553256536524
original_glcm_Idn,0.169109946339937,0.169465052277363,0.07096754878697,0.59045745259573
original_glcm_Imc1,0.0110751890608929,0.979201302611229,0.00610321587579668,0.00362029245208129
original_glcm_Imc2,0.0344066791846234,0.934994857110631,0.00357284413481704,0.0270256195699287
original_glcm_InverseVariance,0.00111853118991935,0.971629609869291,0.000132170292640908,0.0271196886481484
original_glcm_JointAverage,0.00267357693067704,0.99119057005084,0.00129167930600827,0.00484417371247448
original_glcm_JointEnergy,0.00646416147345111,0.969997975586361,0.000384346618109099,0.0231535163220792
original_glcm_JointEntropy,0.00324048579433049,0.9950398716642,9.2093094528901e-05,0.00162754944694021
original_glcm_MCC,0.0338808172808716,0.922833671786809,0.00842282911235403,0.0348626818199658
original_glcm_MaximumProbability,0.010329961358909,0.970637845695102,0.000738709585951504,0.0182934833600373
original_glcm_SumAverage,0.00267357693067698,0.991190570050841,0.00129167930600827,0.00484417371247414
original_glcm_SumEntropy,0.00578416420943115,0.991833591277309,0.000181980639729251,0.00220026387353023
original_glcm_SumSquares,0.00133496674346283,0.984230272144632,0.000653644248233803,0.0137811168636719
original_gldm_DependenceEntropy,0.00835372594310867,0.98278343842526,0.000409218112518458,0.00845361751911289
original_gldm_DependenceNonUniformity,0.0750413957641216,0.894747637429282,0.000139310426508298,0.0300716563800886
original_gldm_DependenceNonUniformityNormalized,0.00531108332047088,0.959237152988731,0.000190315782490987,0.0352614479083075
original_gldm_DependenceVariance,0.0072341238964457,0.973329656725097,0.000348922204222401,0.0190872971742346
original_gldm_GrayLevelNonUniformity,0.0644512261760206,0.885932793438458,0.000232365411313675,0.0493836149742082
original_gldm_GrayLevelVariance,0.00362475156849986,0.976118760174392,0.000511015418816144,0.0197454728382919
original_gldm_HighGrayLevelEmphasis,0.00223598812217231,0.983514647105112,0.00166480998688659,0.0125845547858294
original_gldm_LargeDependenceEmphasis,0.00305366972460959,0.993311336893785,0.000214319065432535,0.00342067431617266
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.0675207268671286,0.830807462618481,0.0194911136702719,0.0821806968441184
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.00447199967360469,0.973869024804639,0.00147408415877632,0.0201848913629799
original_gldm_LowGrayLevelEmphasis,0.00824495937909292,0.967953014963595,0.00162846740705487,0.0221735582502567
original_gldm_SmallDependenceEmphasis,0.00359138343606454,0.989753536263187,0.000327369022609627,0.00632771127813925
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.000324000686282729,0.988433210657663,0.000647341696028619,0.0105954469600253
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0753181750402304,0.879912055526806,0.00472251197870641,0.0400472574542571
original_glrlm_GrayLevelNonUniformity,0.170557456263615,0.798402380200884,0.000620426249862069,0.0304197372856396
original_glrlm_GrayLevelNonUniformityNormalized,0.00838169297527576,0.985645565854458,8.87275843491217e-05,0.00588401358591673
original_glrlm_GrayLevelVariance,0.00256351853463744,0.979828853632451,0.000501491700026351,0.017106136132885
