Row,Mean,Std,CoV
Model,0.860986627052187,0.0502019539530232,0.0583074723528549
GLbins,1.87366595277085e-30,2.29538761127483e-30,1.22507835928828
Wavelength,0.0220936193611083,0.00748975990636662,0.339001038442391
Reconstruction,0.0670093257830224,0.0254311030934065,0.379515877771297
Residual,0.0499104278036819,0.0214167446823711,0.429103608701009
