Row,Model,GLbins,Wavelength,Residual
original_firstorder_10Percentile,0.990923152014541,4.75718295112073e-31,0.00630870866549824,0.00276813931996112
original_firstorder_90Percentile,0.919133331259296,9.93552852345005e-31,0.0532559451725454,0.0276107235681591
original_firstorder_Energy,0.904348197578478,8.02160108608053e-32,0.0524427330924046,0.0432090693291175
original_firstorder_Entropy,0.00983212953530626,0.98922500933493,0.000150549152295259,0.000792311977468096
original_firstorder_InterquartileRange,0.754379454338484,0,0.184907770351671,0.0607127753098459
original_firstorder_Kurtosis,0.968776257575206,1.56815837531955e-30,0.00452079635135837,0.026702946073436
original_firstorder_Maximum,0.878134687409138,0,0.0619620761663541,0.0599032364245079
original_firstorder_Mean,0.95778421633034,1.48452527422987e-30,0.0258496726870647,0.0163661109825949
original_firstorder_MeanAbsoluteDeviation,0.830481566485462,0,0.117445443125866,0.0520729903886715
original_firstorder_Median,0.965480301027414,0,0.0238715089935969,0.0106481899789894
original_firstorder_Minimum,0.584690893524369,0,0.278360669706518,0.136948436769113
original_firstorder_Range,0.846187458095923,0,0.0838040192203857,0.0700085226836915
original_firstorder_RobustMeanAbsoluteDeviation,0.769308508931589,2.61085888883453e-31,0.171530089705729,0.059161401362682
original_firstorder_RootMeanSquared,0.934966471392803,1.14390360751777e-31,0.0408597457866669,0.0241737828205298
original_firstorder_Skewness,0.964048491886951,5.74557981107803e-31,0.0161949954563159,0.0197565126567334
original_firstorder_TotalEnergy,0.904348197578478,3.86844126691816e-32,0.0524427330924046,0.0432090693291174
original_firstorder_Uniformity,0.0128577152663274,0.978431002975077,0.000352320123098534,0.00835896163549754
original_firstorder_Variance,0.788279547687004,2.47882554225942e-31,0.119875196381861,0.0918452559311349
original_glcm_Autocorrelation,0.00228548039897158,0.978903652058111,0.00278834574874303,0.0160225217941748
original_glcm_ClusterProminence,1.42893890108176e-06,0.98407708834376,0.000562380150470027,0.0153591025668685
original_glcm_ClusterShade,0.0318378992483989,0.842844236564332,0.00140775266731961,0.12391011151995
original_glcm_ClusterTendency,0.00964129214714575,0.957625709015113,0.000737126433174555,0.0319958724045671
original_glcm_Contrast,0.000368664649814921,0.997558442131877,0.000104180003014972,0.00196871321529313
original_glcm_Correlation,0.0163611723773066,0.962251730835668,0.0118903108864383,0.00949678590058745
original_glcm_DifferenceAverage,0.00176677364579327,0.995407958635336,8.79164501389984e-05,0.00273735126873198
original_glcm_DifferenceEntropy,0.000683825508341974,0.998840420719554,9.23267355521841e-05,0.000383427036551365
original_glcm_DifferenceVariance,7.38846855540542e-05,0.998838570502237,0.00016036373369175,0.000927181078517636
original_glcm_Id,0.00335061939491624,0.995480794946922,0.000115228369242724,0.00105335728891864
original_glcm_Idm,0.00327691699384272,0.995423648872744,0.000115435997879695,0.00118399813553338
original_glcm_Idmn,0.00673087638563196,0.98825293139289,0.00078057599724407,0.00423561622423352
original_glcm_Idn,0.64049415491185,0.199647753501098,0.0215494224991271,0.138308669087924
original_glcm_Imc1,0.00348063879041186,0.98963400610919,0.0052704718961064,0.00161488320429193
original_glcm_Imc2,0.0304436776145464,0.950595202551118,0.00598807976921573,0.0129730400651196
original_glcm_InverseVariance,0.000880766334271761,0.976891670186194,1.38940286230724e-05,0.0222136694509114
original_glcm_JointAverage,0.000723831388317334,0.994300009426414,0.0017220255075412,0.00325413367772709
